objectid,title,creator,date,description,subject,location,,,source,identifier,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
zine_001,Abduction Collection,Will Hines (Reset Survivor),,,comic; manga; Japanese,,,,Groundworks ,Abduction_Collection_1-combined,Image;StillImage,application/pdf,jpn,pdf,/objects/Abduction_Collection_1-combined.pdf,/objects/small/abduction_collection_1-combined_sm.jpg,/objects/thumbs/abduction_collection_1-combined_th.jpg,Japanese-language manga-style zine with bright pink cover displaying a close up of a samurai,
zine_002,Ambergris Toast 3,Ambergris Toast,2023,,poetry; perzine; creative writing; lgbt,"tTucson, Arizona",,,Groundworks ,Ambergis_Toast_3-combined,Image;StillImage,application/pdf,eng,pdf,/objects/Ambergis_Toast_3-combined.pdf,/objects/small/ambergis_toast_3-combined_sm.jpg,/objects/thumbs/ambergis_toast_3-combined_th.jpg,"black-anc-white perzine collection of poetry, creative writing",
zine_003,Dictator of Love,Damon Begay (Interstellar Comix),2015,,comic; love; lgbt; funny,,,,Groundworks ,Dictator_Of_Love_1-combined,Image;StillImage,application/pdf,eng,pdf,/objects/Dictator_Of_Love_1-combined.pdf,/objects/small/dictator_of_love_1-combined_sm.jpg,/objects/thumbs/dictator_of_love_1-combined_th.jpg,black-and-white comic zine,
zine_004,Date Night Armageddon,Damon Begay; Brad Dwyer,,,jam comic; sci-fi,,,,Groundworks ,Date_Night_Armageddon_Cover-combined,Image;StillImage,application/pdf,eng,pdf,/objects/Date_Night_Armageddon_Cover-combined.pdf,/objects/small/date_night_armageddon_cover-combined_sm.jpg,/objects/thumbs/date_night_armageddon_cover-combined_th.jpg,black-and-white sci-fi,
zine_005,Future Pending ,Damon Begay (Interstellar Comix),2022-9-28,,love; comic collection,,,,Groundworks ,FP_1-combined,Image;StillImage,application/pdf,eng,pdf,/objects/FP_1-combined.pdf,/objects/small/fp_1-combined_sm.jpg,/objects/thumbs/fp_1-combined_th.jpg,comic collection,
zine_006,Squick!,Elisa Mask; Shannon King; Zac Finger,,,body horror; sci-fi; comic; collage,"Tucson, Arizona",,,Groundworks ,Squick_0_1-combined,Image;StillImage,application/pdf,eng,pdf,/objects/Squick_0_1-combined.pdf,/objects/small/squick_0_1-combined_sm.jpg,/objects/thumbs/squick_0_1-combined_th.jpg,sci-fi body horror zine collection,
zine_007,Technophilia: Transhumanist Zine 3,Prosper Yamamoto; Sherronda Brown; Ethereal Delusions; Grid Town; Elisa Mask; Zac Finger,2017,,sci-fi; poetry; comic; collage; illustration,"Tucson, Arizona",,,Groundworks ,Transhumanist_3_1-combined,Image;StillImage,application/pdf,eng,pdf,/objects/Transhumanist_3_1-combined.pdf,/objects/small/transhumanist_3_1-combined_sm.jpg,,/objects/thumbs/transhumanist_3_1-combined_th.jpg,
